,SalesAgentEmailID,ContactEmailID,Product,Close_Value,year_month,sentiment_scores
0,corliss@piedpiper.com,delila@konex.com,GTX Plus Basic,1255,2016-05,4.148387096774194
1,rosalina@piedpiper.com,belinda@finjob.com,MG Special,45,2016-11,4.041666666666667
2,lajuana@piedpiper.com,candice@stanredtax.com,MG Advanced,3180,2016-01,3.3875
3,zane@piedpiper.com,tyron@hatfan.com,GTX Basic,517,2016-12,4.40566037735849
4,kary@piedpiper.com,rosanne@y-corporation.com,GTXPro,5539,2016-12,3.875776397515528
5,darcel@piedpiper.com,salina@gogozoom.com,GTXPro,4359,2016-01,3.7832512315270934
6,garret@piedpiper.com,monte@kinnamplus.com,MG Special,41,2016-12,6.413793103448276
7,james@piedpiper.com,maxie@sunnamplex.com,GTX Plus Pro,5169,2016-11,3.781609195402299
8,rosalina@piedpiper.com,gordon@scotfind.com,MG Advanced,3284,2016-11,2.9454545454545453
9,elease@piedpiper.com,gordon@scotfind.com,GTX Plus Basic,1164,2016-02,3.0416666666666665
10,garret@piedpiper.com,loise@mathtouch.com,GTX Plus Basic,1233,2016-04,4.138888888888889
11,kary@piedpiper.com,hsiu@fasehatice.com,GTX Basic,578,2016-11,4.544378698224852
12,versie@piedpiper.com,ying@funholding.com,MG Special,54,2016-11,3.6605504587155964
13,maureen@piedpiper.com,tambra@singletechno.com,GTX Plus Basic,1070,2016-02,4.297297297297297
14,anna@piedpiper.com,verna@statholdings.com,MG Advanced,3647,2016-06,3.9732142857142856
15,kary@piedpiper.com,hsiu@fasehatice.com,GTXPro,5149,2016-03,4.544378698224852
16,james@piedpiper.com,jackie@doncon.com,GTXPro,5673,2016-10,3.72972972972973
17,versie@piedpiper.com,kristle@dontechi.com,MG Special,57,2016-04,3.515625
18,markita@piedpiper.com,riley@blackzim.com,GTX Plus Basic,1043,2016-11,3.5865384615384617
19,rosalina@piedpiper.com,lavone@green-plus.com,GTX Basic,635,2016-09,2.8536585365853657
20,gladys@piedpiper.com,edison@scottech.com,MG Special,57,2016-04,4.375
21,anna@piedpiper.com,candice@stanredtax.com,GTX Plus Pro,5765,2016-08,4.304347826086956
22,wilburn@piedpiper.com,terry@plussunin.com,MG Advanced,3012,2016-04,3.282608695652174
23,violet@piedpiper.com,paola@opentech.com,MG Special,54,2016-10,2.8095238095238093
24,rosalina@piedpiper.com,delila@konex.com,GTX Basic,538,2016-09,2.7142857142857144
25,markita@piedpiper.com,robbie@cheers.com,GTX Basic,601,2016-09,4.068627450980392
26,zane@piedpiper.com,jackie@doncon.com,GTX Plus Pro,5370,2016-07,4.097222222222222
27,moses@piedpiper.com,darwin@dambase.com,GTX Basic,589,2016-07,4.333333333333333
28,rosie@piedpiper.com,monte@kinnamplus.com,GTXPro,4465,2016-11,4.7407407407407405
29,gladys@piedpiper.com,corrinne@isdom.com,MG Advanced,3440,2016-07,3.352
30,hayden@piedpiper.com,laveta@zoomit.com,MG Special,53,2016-09,4.319148936170213
31,maureen@piedpiper.com,hsiu@fasehatice.com,GTX Plus Basic,1007,2016-12,3.6344086021505375
32,gladys@piedpiper.com,tanja@domzoom.com,GTX Basic,571,2016-05,2.476923076923077
33,violet@piedpiper.com,vella@yearin.com,MG Special,55,2016-09,4.670731707317073
34,markita@piedpiper.com,rosanne@y-corporation.com,GTX Basic,523,2016-11,3.7613636363636362
35,jonathan@piedpiper.com,corrinne@isdom.com,GTX Basic,519,2016-04,4.401869158878505
36,markita@piedpiper.com,gaylord@faxquote.com,MG Special,64,2016-09,2.988095238095238
37,anna@piedpiper.com,benny@treequote.com,MG Special,58,2016-05,4.118012422360248
38,kami@piedpiper.com,gaylord@faxquote.com,GTX Plus Basic,1059,2016-03,3.985074626865672
39,james@piedpiper.com,ashlie@sonron.com,GTX Plus Pro,4667,2016-10,3.3777777777777778
40,donn@piedpiper.com,nedra@ontomedia.com,MG Advanced,3421,2016-09,4.483516483516484
41,reed@piedpiper.com,loise@mathtouch.com,GTX Basic,493,2016-03,4.225225225225225
42,niesha@piedpiper.com,faviola@cancity.com,GTX Basic,546,2016-05,3.5866666666666664
43,kary@piedpiper.com,maxie@sunnamplex.com,GTX Plus Basic,988,2016-05,4.065693430656935
44,darcel@piedpiper.com,ivory@conecom.com,GTXPro,3952,2016-09,4.127853881278539
45,versie@piedpiper.com,genie@betatech.com,MG Special,50,2016-07,3.2616822429906542
46,james@piedpiper.com,garfield@nam-zim.com,GTX Plus Pro,6490,2016-12,4.428571428571429
47,kary@piedpiper.com,kelli@golddex.com,GTX Basic,559,2016-05,3.504201680672269
48,corliss@piedpiper.com,nedra@ontomedia.com,GTX Plus Pro,5790,2016-06,3.6835443037974684
49,kami@piedpiper.com,belinda@finjob.com,GTX Basic,564,2016-10,4.867768595041323
50,vicki@piedpiper.com,gordon@scotfind.com,MG Special,54,2016-04,3.2098765432098766
51,james@piedpiper.com,claribel@goodsilron.com,GTX Basic,601,2016-07,3.8645833333333335
52,corliss@piedpiper.com,alejandro@initech.com,GTX Basic,513,2016-04,3.391304347826087
53,niesha@piedpiper.com,palmira@inity.com,MG Special,48,2016-04,4.96875
54,moses@piedpiper.com,kelly@ron-tech.com,MG Special,50,2016-07,3.3421052631578947
55,darcel@piedpiper.com,karole@gencopuraoliveoilcompany.com,GTX Plus Basic,1161,2016-08,3.532934131736527
56,vicki@piedpiper.com,hsiu@fasehatice.com,GTXPro,4906,2016-09,4.257731958762887
57,corliss@piedpiper.com,danilo@betasoloin.com,GTXPro,4570,2016-09,4.323529411764706
58,lajuana@piedpiper.com,justine@codehow.com,GTX Basic,609,2016-09,4.227941176470588
59,darcel@piedpiper.com,genie@betatech.com,GTX Plus Pro,4278,2016-06,4.264516129032258
60,lajuana@piedpiper.com,israel@zumgoity.com,GTX Basic,559,2016-04,4.044776119402985
61,cassey@piedpiper.com,margarito@bubbagump.com,GTX Basic,549,2016-07,4.211111111111111
62,maureen@piedpiper.com,ashlie@sonron.com,GTX Plus Pro,4631,2016-06,3.5555555555555554
63,gladys@piedpiper.com,mellie@finhigh.com,MG Advanced,2972,2016-12,4.3924050632911396
64,darcel@piedpiper.com,salina@gogozoom.com,MG Advanced,3563,2016-05,3.7832512315270934
65,vicki@piedpiper.com,delila@konex.com,GTX Basic,443,2016-11,4.244541484716157
66,darcel@piedpiper.com,faviola@cancity.com,MG Special,50,2016-09,3.443243243243243
67,kary@piedpiper.com,jackie@doncon.com,GTX Plus Pro,5425,2016-12,3.950617283950617
68,corliss@piedpiper.com,loise@mathtouch.com,GTX Plus Basic,1034,2016-09,4.779220779220779
69,vicki@piedpiper.com,nelia@dalttechnology.com,GTXPro,4899,2016-10,3.982300884955752
70,hayden@piedpiper.com,winston@j-texon.com,MG Advanced,3426,2016-09,3.0285714285714285
71,hayden@piedpiper.com,hsiu@fasehatice.com,GTX Plus Basic,1315,2016-06,4.018518518518518
72,kary@piedpiper.com,gordon@scotfind.com,GTX Basic,576,2016-06,3.532934131736527
73,versie@piedpiper.com,benny@treequote.com,MG Special,49,2016-12,3.696629213483146
74,niesha@piedpiper.com,benny@treequote.com,MG Advanced,3841,2016-12,5.527027027027027
75,darcel@piedpiper.com,corrinne@isdom.com,GTX Plus Pro,4711,2016-08,3.8839590443686007
76,corliss@piedpiper.com,danilo@betasoloin.com,GTX Plus Pro,5964,2016-11,4.323529411764706
77,rosie@piedpiper.com,gertrude@massivedynamic.com,GTXPro,4829,2016-07,3.5757575757575757
78,hayden@piedpiper.com,lavone@green-plus.com,GTX Plus Basic,926,2016-07,3.0597014925373136
79,jonathan@piedpiper.com,darrel@rangreen.com,MG Special,51,2016-09,4.074380165289257
80,moses@piedpiper.com,crista@rundofase.com,GTX Basic,557,2016-11,3.1237113402061856
81,vicki@piedpiper.com,rosanne@y-corporation.com,MG Special,46,2016-10,3.96
82,lajuana@piedpiper.com,ying@funholding.com,GTX Plus Basic,948,2016-10,3.6346153846153846
83,markita@piedpiper.com,deanne@plusstrip.com,MG Special,54,2016-10,3.488888888888889
84,corliss@piedpiper.com,vella@yearin.com,MG Advanced,3577,2016-09,3.7794117647058822
85,lajuana@piedpiper.com,ivana@konmatfix.com,GTX Basic,560,2016-06,3.8191489361702127
86,marty@piedpiper.com,karole@gencopuraoliveoilcompany.com,GTX Plus Basic,1162,2016-06,4.164179104477612
87,gladys@piedpiper.com,justine@codehow.com,GTXPro,4438,2016-12,3.6095238095238096
88,versie@piedpiper.com,salina@gogozoom.com,MG Advanced,2955,2016-10,3.1733333333333333
89,violet@piedpiper.com,zulema@silis.com,MG Advanced,3558,2016-07,4.294117647058823
90,lajuana@piedpiper.com,darrel@rangreen.com,GTX Basic,559,2016-07,3.4642857142857144
91,vicki@piedpiper.com,delila@konex.com,MG Advanced,3671,2016-07,4.244541484716157
92,violet@piedpiper.com,alejandro@initech.com,MG Special,64,2016-11,4.934426229508197
93,versie@piedpiper.com,darwin@dambase.com,MG Special,67,2016-09,3.9770114942528734
94,kami@piedpiper.com,natisha@groovestreet.com,GTX Basic,441,2016-07,3.4791666666666665
95,james@piedpiper.com,shemeka@xx-holding.com,GTXPro,4338,2016-12,3.36
96,zane@piedpiper.com,halley@labdrill.com,GTX Plus Basic,1049,2016-12,4.636363636363637
97,jonathan@piedpiper.com,justine@codehow.com,GTX Basic,517,2016-12,3.5688073394495414
98,garret@piedpiper.com,vella@yearin.com,GTX Basic,510,2016-09,1.894736842105263
99,vicki@piedpiper.com,hsiu@fasehatice.com,GTXPro,3742,2016-12,4.257731958762887
100,cecily@piedpiper.com,corrinne@isdom.com,MG Advanced,2955,2016-08,3.6736842105263157
101,maureen@piedpiper.com,hsiu@fasehatice.com,GTX Plus Basic,1185,2016-12,3.6344086021505375
102,jonathan@piedpiper.com,verna@statholdings.com,GTXPro,5406,2016-10,3.5714285714285716
103,kary@piedpiper.com,tyron@hatfan.com,GTX Plus Basic,1046,2016-09,2.980392156862745
104,versie@piedpiper.com,israel@zumgoity.com,MG Special,60,2016-07,4.433734939759036
105,cecily@piedpiper.com,benny@treequote.com,MG Advanced,3956,2016-07,3.7733333333333334
106,corliss@piedpiper.com,krystle@gekko&co.com,MG Advanced,3351,2016-09,4.0886075949367084
107,james@piedpiper.com,golda@condax.com,GTX Basic,437,2016-12,4.178571428571429
108,boris@piedpiper.com,paola@opentech.com,GTXPro,4704,2016-08,2.7358490566037736
109,elease@piedpiper.com,robbie@cheers.com,MG Special,58,2016-07,3.526315789473684
110,corliss@piedpiper.com,delila@konex.com,GTX Basic,590,2016-07,4.148387096774194
111,daniell@piedpiper.com,orpha@umbrellacorporation.com,GTXPro,4799,2016-07,3.297872340425532
112,reed@piedpiper.com,lavonia@vehementcapitalpartners.com,MG Special,57,2016-11,4.195652173913044
113,moses@piedpiper.com,faviola@cancity.com,GTX Plus Basic,1054,2016-09,3.607594936708861
114,jonathan@piedpiper.com,mellie@finhigh.com,GTX Basic,543,2016-10,4.549180327868853
115,anna@piedpiper.com,corrinne@isdom.com,MG Advanced,3246,2016-09,4.115151515151515
116,versie@piedpiper.com,bryan@bioholding.com,MG Special,61,2016-09,4.527777777777778
117,niesha@piedpiper.com,kelly@ron-tech.com,GTX Basic,487,2016-08,3.7875
118,markita@piedpiper.com,laveta@zoomit.com,GTX Plus Pro,5410,2016-07,3.865168539325843
119,rosie@piedpiper.com,lavonia@vehementcapitalpartners.com,MG Special,48,2016-07,4.7368421052631575
120,vicki@piedpiper.com,hsiu@fasehatice.com,MG Advanced,3803,2016-09,4.257731958762887
121,gladys@piedpiper.com,darwin@dambase.com,MG Special,51,2016-12,3.5
122,wilburn@piedpiper.com,hai@thenewyorkinquirer.com,MG Advanced,3045,2016-09,3.305084745762712
123,kami@piedpiper.com,shemeka@xx-holding.com,GTX Basic,598,2016-08,3.62992125984252
124,violet@piedpiper.com,malissa@donquadtech.com,MG Special,65,2016-07,3.6987951807228914
125,rosalina@piedpiper.com,titus@plexzap.com,MG Special,56,2016-11,4.545454545454546
126,corliss@piedpiper.com,krystle@gekko&co.com,GTX Basic,513,2016-12,4.0886075949367084
127,anna@piedpiper.com,kelly@ron-tech.com,MG Special,49,2016-12,3.5483870967741935
128,darcel@piedpiper.com,ying@funholding.com,GTXPro,4247,2016-11,3.5726872246696035
129,vicki@piedpiper.com,nelia@dalttechnology.com,MG Special,55,2016-09,3.982300884955752
130,hayden@piedpiper.com,kelli@golddex.com,GTX Plus Basic,1040,2016-07,3.3653846153846154
131,corliss@piedpiper.com,somer@ganjaflex.com,GTX Plus Pro,5002,2016-10,3.7196261682242993
132,zane@piedpiper.com,tyron@hatfan.com,GTX Plus Pro,6499,2016-08,4.40566037735849
133,elease@piedpiper.com,maren@rantouch.com,MG Special,46,2016-10,3.617021276595745
134,versie@piedpiper.com,ivana@konmatfix.com,MG Special,51,2016-10,3.5760869565217392
135,niesha@piedpiper.com,israel@zumgoity.com,GTX Plus Basic,1026,2016-09,4.978260869565218
136,zane@piedpiper.com,tambra@singletechno.com,GTX Basic,552,2016-10,4.079545454545454
137,marty@piedpiper.com,ying@funholding.com,MG Special,52,2016-12,4.318181818181818
138,violet@piedpiper.com,cassy@bioplex.com,MG Special,56,2016-12,3.4683544303797467
139,hayden@piedpiper.com,garfield@nam-zim.com,MG Special,59,2016-11,3.857142857142857
140,anna@piedpiper.com,ivory@conecom.com,GTX Basic,625,2016-10,4.5
141,versie@piedpiper.com,justine@codehow.com,MG Special,51,2016-08,4.622448979591836
142,anna@piedpiper.com,candice@stanredtax.com,MG Advanced,4148,2016-10,4.304347826086956
143,moses@piedpiper.com,justine@codehow.com,GTX Basic,588,2016-10,4.45045045045045
144,maureen@piedpiper.com,halley@labdrill.com,GTXPro,4899,2016-10,3.2222222222222223
145,donn@piedpiper.com,kenton@kan-code.com,GTX Basic,462,2016-11,3.8411764705882354
146,markita@piedpiper.com,juliette@hottechi.com,MG Special,47,2016-11,3.658536585365854
147,kary@piedpiper.com,shemeka@xx-holding.com,MG Special,51,2016-09,4.341935483870968
148,darcel@piedpiper.com,tanja@domzoom.com,MG Special,49,2016-11,3.67032967032967
149,darcel@piedpiper.com,mellie@finhigh.com,GTXPro,4739,2016-10,3.830188679245283
150,marty@piedpiper.com,sherman@toughzap.com,GTX Basic,508,2016-10,4.126436781609195
151,hayden@piedpiper.com,ashlie@sonron.com,GTX Plus Basic,1108,2016-10,4.129032258064516
152,donn@piedpiper.com,vella@yearin.com,MG Advanced,3415,2016-12,3.3214285714285716
153,darcel@piedpiper.com,justine@codehow.com,MG Advanced,3269,2016-09,4.065359477124183
154,cassey@piedpiper.com,nedra@ontomedia.com,GTX Plus Pro,5425,2016-08,3.613861386138614
155,darcel@piedpiper.com,sherman@toughzap.com,MG Advanced,3358,2016-09,4.183783783783784
156,maureen@piedpiper.com,tyron@hatfan.com,GTX Plus Basic,979,2016-09,3.45679012345679
157,elease@piedpiper.com,tambra@singletechno.com,MG Special,65,2016-10,3.9479166666666665
158,donn@piedpiper.com,monte@kinnamplus.com,GTX Basic,579,2016-10,3.65
159,darcel@piedpiper.com,kelly@ron-tech.com,GTXPro,4891,2016-09,3.746987951807229
160,james@piedpiper.com,titus@plexzap.com,GTXPro,5040,2016-10,4.311827956989247
161,cassey@piedpiper.com,orpha@umbrellacorporation.com,MG Advanced,4200,2016-11,4.034883720930233
162,violet@piedpiper.com,krystle@gekko&co.com,GTX Basic,564,2016-11,4.038167938931298
163,violet@piedpiper.com,loise@mathtouch.com,GTX Basic,504,2016-12,3.0161290322580645
164,donn@piedpiper.com,rosalyn@zencorporation.com,GTX Basic,605,2016-09,4.020408163265306
165,reed@piedpiper.com,williemae@zathunicon.com,GTX Plus Basic,978,2016-11,3.22
166,markita@piedpiper.com,laveta@zoomit.com,GTX Basic,576,2016-09,3.865168539325843
167,niesha@piedpiper.com,darwin@dambase.com,GTX Plus Basic,1033,2016-12,2.851063829787234
168,garret@piedpiper.com,delila@konex.com,GTX Basic,469,2016-09,4.380281690140845
169,anna@piedpiper.com,crista@rundofase.com,GTX Plus Pro,5459,2016-12,3.462068965517241
170,donn@piedpiper.com,zulema@silis.com,GTX Plus Basic,1132,2016-11,2.5526315789473686
171,kami@piedpiper.com,riley@blackzim.com,GTXPro,4839,2016-11,4.296296296296297
172,violet@piedpiper.com,nedra@ontomedia.com,MG Special,47,2016-10,3.8840579710144927
173,cassey@piedpiper.com,shella@zotware.com,MG Advanced,3665,2016-11,4.440366972477064
174,darcel@piedpiper.com,kristle@dontechi.com,GTXPro,4511,2016-11,3.4007936507936507
175,kami@piedpiper.com,belinda@finjob.com,MG Advanced,3295,2016-11,4.867768595041323
176,donn@piedpiper.com,lavonia@vehementcapitalpartners.com,GTXPro,4998,2016-12,3.3225806451612905
177,versie@piedpiper.com,golda@condax.com,MG Special,62,2016-12,3.381443298969072
178,gladys@piedpiper.com,faviola@cancity.com,MG Special,56,2016-11,3.7209302325581395
179,reed@piedpiper.com,cuc@acmecorporation.com,GTX Basic,556,2016-12,3.8846153846153846
180,kary@piedpiper.com,robbie@cheers.com,GTX Basic,515,2016-10,4.082758620689655
181,lajuana@piedpiper.com,justine@codehow.com,GTX Basic,547,2016-10,4.227941176470588
182,zane@piedpiper.com,shemeka@xx-holding.com,GTXPro,4818,2017-02,4.17741935483871
183,anna@piedpiper.com,bryan@bioholding.com,MG Special,53,2016-12,3.7777777777777777
184,vicki@piedpiper.com,deanne@plusstrip.com,MG Special,60,2017-12,4.242105263157895
185,cecily@piedpiper.com,corrinne@isdom.com,GTX Plus Pro,5882,2017-10,3.6736842105263157
186,kary@piedpiper.com,tyron@hatfan.com,GTXPro,4694,2017-02,2.980392156862745
187,daniell@piedpiper.com,malissa@donquadtech.com,GTX Plus Basic,1020,2016-10,3.75
188,cassey@piedpiper.com,somer@ganjaflex.com,GTX Plus Basic,1186,2017-10,3.2583333333333333
189,moses@piedpiper.com,benny@treequote.com,GTX Basic,583,2017-10,3.611111111111111
190,boris@piedpiper.com,malissa@donquadtech.com,MG Advanced,3677,2016-12,4.07
191,kami@piedpiper.com,deanne@plusstrip.com,GTX Basic,566,2017-03,4.784810126582278
192,versie@piedpiper.com,candice@stanredtax.com,MG Special,43,2016-11,4.6879432624113475
193,versie@piedpiper.com,benny@treequote.com,MG Special,61,2016-11,3.696629213483146
194,darcel@piedpiper.com,darrel@rangreen.com,GTXPro,4829,2017-03,3.6264367816091956
195,maureen@piedpiper.com,kenton@kan-code.com,GTX Basic,524,2017-02,4.066666666666666
196,maureen@piedpiper.com,belinda@finjob.com,GTX Plus Basic,1180,2017-04,3.8376068376068377
197,kary@piedpiper.com,maxie@sunnamplex.com,GTXPro,4719,2017-04,4.065693430656935
198,darcel@piedpiper.com,verna@statholdings.com,GTX Basic,463,2017-12,4.248322147651007
199,moses@piedpiper.com,justine@codehow.com,GTX Basic,546,2017-04,4.45045045045045
200,marty@piedpiper.com,ivory@conecom.com,GTXPro,4926,2017-09,4.037735849056604
201,kami@piedpiper.com,claribel@goodsilron.com,GTX Plus Basic,1207,2017-11,3.7155172413793105
202,corliss@piedpiper.com,golda@condax.com,GTX Plus Pro,5228,2017-10,4.555555555555555
203,lajuana@piedpiper.com,kelly@ron-tech.com,MG Advanced,3573,2017-03,3.5496688741721854
204,darcel@piedpiper.com,ivana@konmatfix.com,GTX Plus Basic,1170,2016-11,4.440789473684211
205,hayden@piedpiper.com,belinda@finjob.com,MG Advanced,3393,2017-06,4.105882352941176
206,darcel@piedpiper.com,elisa@warephase.com,GTX Basic,561,2017-04,3.611111111111111
207,versie@piedpiper.com,corrinne@isdom.com,GTX Plus Pro,6282,2017-03,4.573333333333333
208,kary@piedpiper.com,delila@konex.com,GTX Plus Pro,5515,2017-12,3.740740740740741
209,donn@piedpiper.com,terry@plussunin.com,GTXPro,5059,2017-09,4.3431372549019605
210,darcel@piedpiper.com,corrinne@isdom.com,GTXPro,4514,2017-06,3.8839590443686007
211,lajuana@piedpiper.com,genie@betatech.com,MG Special,56,2017-11,4.0125
212,kary@piedpiper.com,golda@condax.com,GTX Basic,532,2017-06,3.5138121546961325
213,kami@piedpiper.com,tambra@singletechno.com,MG Advanced,3388,2017-01,3.602409638554217
214,moses@piedpiper.com,kristle@dontechi.com,GTX Basic,615,2017-10,3.211764705882353
215,corliss@piedpiper.com,cassy@bioplex.com,MG Special,62,2017-06,4.318181818181818
216,violet@piedpiper.com,zulema@silis.com,MG Special,57,2017-12,4.294117647058823
217,kary@piedpiper.com,gaylord@faxquote.com,GTX Plus Pro,5256,2017-08,4.228571428571429
218,versie@piedpiper.com,corrinne@isdom.com,MG Special,54,2017-01,4.573333333333333
219,darcel@piedpiper.com,ivory@conecom.com,MG Advanced,3725,2017-09,4.127853881278539
220,darcel@piedpiper.com,kelly@ron-tech.com,GTX Plus Pro,5522,2017-08,3.746987951807229
221,cassey@piedpiper.com,alejandro@initech.com,MG Advanced,3463,2017-06,3.611111111111111
222,vicki@piedpiper.com,rosanne@y-corporation.com,GTX Basic,492,2017-12,3.96
223,marty@piedpiper.com,mellie@finhigh.com,GTX Plus Basic,903,2017-09,4.28421052631579
224,donn@piedpiper.com,zulema@silis.com,GTX Plus Pro,5585,2017-07,2.5526315789473686
225,niesha@piedpiper.com,yolando@globexcorporation.com,GTX Plus Basic,1080,2017-01,4.452830188679245
226,james@piedpiper.com,titus@plexzap.com,GTX Basic,537,2016-12,4.311827956989247
227,daniell@piedpiper.com,cassy@bioplex.com,GTX Basic,639,2017-08,3.4909090909090907
228,rosie@piedpiper.com,eleonore@donware.com,MG Special,60,2017-06,5.357142857142857
229,darcel@piedpiper.com,yolando@globexcorporation.com,GTX Basic,516,2017-12,5.121359223300971
230,darcel@piedpiper.com,mellie@finhigh.com,GTX Basic,514,2017-01,3.830188679245283
231,niesha@piedpiper.com,tanja@domzoom.com,GTX Plus Basic,1212,2016-12,3.3442622950819674
232,reed@piedpiper.com,malissa@donquadtech.com,GTX Plus Basic,950,2017-09,3.824561403508772
