,SalesAgentEmailID,ContactEmailID,Product,Close_Value,year_month,sentiment_scores
2,16,6,5,3180,2016-01-01,3.3875
5,6,66,4,4359,2016-01-01,3.783251231527093
13,19,71,2,1070,2016-02-01,4.297297297297297
9,8,27,2,1164,2016-02-01,3.0416666666666665
41,22,47,1,493,2016-03-01,4.225225225225225
38,14,23,2,1059,2016-03-01,3.985074626865672
15,15,30,4,5149,2016-03-01,4.544378698224851
53,21,59,6,48,2016-04-01,4.96875
50,26,27,6,54,2016-04-01,3.2098765432098766
17,25,42,6,57,2016-04-01,3.515625
20,10,18,6,57,2016-04-01,4.375
52,4,0,1,513,2016-04-01,3.391304347826087
35,13,9,1,519,2016-04-01,4.401869158878505
60,16,31,1,559,2016-04-01,4.044776119402985
10,9,47,2,1233,2016-04-01,4.138888888888889
22,28,73,5,3012,2016-04-01,3.282608695652174
37,0,4,6,58,2016-05-01,4.118012422360248
42,21,21,1,546,2016-05-01,3.5866666666666664
47,15,39,1,559,2016-05-01,3.5042016806722684
32,10,72,1,571,2016-05-01,2.476923076923077
43,15,51,2,988,2016-05-01,4.065693430656935
0,4,17,2,1255,2016-05-01,4.148387096774194
64,6,66,5,3563,2016-05-01,3.783251231527093
85,16,32,1,560,2016-06-01,3.8191489361702127
72,15,27,1,576,2016-06-01,3.532934131736527
86,18,38,2,1162,2016-06-01,4.164179104477612
71,11,30,2,1315,2016-06-01,4.018518518518518
14,0,79,5,3647,2016-06-01,3.9732142857142856
59,6,24,3,4278,2016-06-01,4.264516129032258
62,19,2,3,4631,2016-06-01,3.555555555555556
48,4,56,3,5790,2016-06-01,3.683544303797469
119,24,46,6,48,2016-07-01,4.7368421052631575
45,25,24,6,50,2016-07-01,3.2616822429906542
54,20,40,6,50,2016-07-01,3.3421052631578947
109,8,63,6,58,2016-07-01,3.5263157894736836
104,25,31,6,60,2016-07-01,4.433734939759036
124,27,48,6,65,2016-07-01,3.6987951807228914
94,14,55,1,441,2016-07-01,3.4791666666666665
61,2,50,1,549,2016-07-01,4.211111111111111
90,16,13,1,559,2016-07-01,3.4642857142857144
27,20,15,1,589,2016-07-01,4.333333333333333
110,4,17,1,590,2016-07-01,4.148387096774194
51,12,8,1,601,2016-07-01,3.8645833333333335
78,11,45,2,926,2016-07-01,3.0597014925373136
130,11,39,2,1040,2016-07-01,3.3653846153846154
29,10,9,5,3440,2016-07-01,3.352
89,27,84,5,3558,2016-07-01,4.294117647058823
91,26,17,5,3671,2016-07-01,4.244541484716157
105,3,4,5,3956,2016-07-01,3.773333333333333
111,5,58,4,4799,2016-07-01,3.2978723404255317
77,24,25,4,4829,2016-07-01,3.575757575757576
26,29,34,3,5370,2016-07-01,4.097222222222221
118,17,44,3,5410,2016-07-01,3.8651685393258433
141,25,37,6,51,2016-08-01,4.6224489795918355
117,21,40,1,487,2016-08-01,3.7875
123,14,68,1,598,2016-08-01,3.62992125984252
55,6,38,2,1161,2016-08-01,3.532934131736527
100,3,9,5,2955,2016-08-01,3.673684210526316
